============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
iteration 393: loss: 0.674900
iteration 394: loss: 0.611195
iteration 395: loss: 0.859570
iteration 396: loss: 0.621044
  4%|█▎                              | 18/455 [00:43<16:26,  2.26s/it]iteration 397: loss: 0.737925
iteration 398: loss: 0.589327
iteration 399: loss: 0.693199
iteration 400: loss: 0.662583
iteration 400 : mean_dice : 0.373508
iteration 401: loss: 0.740331
iteration 402: loss: 0.636138
iteration 403: loss: 0.664414
iteration 404: loss: 0.685437
iteration 405: loss: 0.692517
iteration 406: loss: 0.737817
iteration 407: loss: 0.698326
iteration 408: loss: 0.565563
iteration 409: loss: 0.733688
iteration 410: loss: 0.615270
iteration 411: loss: 0.667409
iteration 412: loss: 0.577997
iteration 413: loss: 0.599951
iteration 414: loss: 0.617166
iteration 415: loss: 0.664531
iteration 416: loss: 0.668109
iteration 417: loss: 0.613031
iteration 418: loss: 0.681890
  4%|█▎                              | 19/455 [00:54<35:30,  4.89s/it]iteration 419: loss: 0.829753
iteration 420: loss: 0.835830
iteration 421: loss: 0.644113
iteration 422: loss: 0.694038
iteration 423: loss: 0.555085
iteration 424: loss: 0.632426
iteration 425: loss: 0.656759
iteration 426: loss: 0.626578
iteration 427: loss: 0.647377
iteration 428: loss: 0.628354
iteration 429: loss: 0.643069
iteration 430: loss: 0.682226
iteration 431: loss: 0.651390
iteration 432: loss: 0.557965
iteration 433: loss: 0.603933
iteration 434: loss: 0.729551
iteration 435: loss: 0.681088
iteration 436: loss: 0.682260
iteration 437: loss: 0.741813
iteration 438: loss: 0.676591
iteration 439: loss: 0.648110
iteration 440: loss: 0.726148
